Miejscowoœæ;x;y
Warszawa;21.012228700000037;52.2296756
Katowice;19.02378150000004;50.26489189999999
Kraków;19.94497990000002;50.06465009999999
Wroc³aw;17.03853760000004;51.1078852
Szczecin;14.552811600000041;53.4285438
Gdañsk;18.64663840000003;54.35202520000001
Kielce;20.628567599999997;50.8660773
Poznañ;16.925168100000064;52.406374
Bia³ystok;23.168840300000056;53.13248859999999
£ódŸ;19.45598330000007;51.75924850000001
Lublin;22.568446300000005;51.2464536
Olsztyn;20.48011919999999;53.778422
Rzeszów;21.999119599999972;50.0411867
Wa³brzych;16.284355300000016;50.7840092
Koszalin;16.171490800000015;54.1943219
S³upsk;17.02848240000003;54.46414799999999
Toruñ;18.59844369999996;53.0137902
Gorzów Wielkopolski ;15.236930499999971;52.73252850000001
Suwa³ki;22.930788099999972;54.11152180000001
Zamoœæ;23.251968499999975;50.7230879
Zielona Góra;15.506186200000002;51.9356214
Pi³a;16.73822659999996;53.1509671
P³ock;19.706536400000005;52.5463446
